               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066125,            0.036253,            0.017245,             0.32387,             0.57756,             0.30575,             0.11294,             0.02187,           0.0068548,            0.015389,            0.070141,           0.0033177,           0.0033177
                   1,            0.043522,            0.028921,            0.010321,             0.38715,             0.77763,             0.49392,              0.3108,            0.016766,           0.0047708,            0.014753,            0.040009,           0.0065193,           0.0065193
                   2,             0.03904,            0.025963,            0.010128,             0.33506,             0.88234,             0.40317,             0.25952,            0.016749,           0.0043591,            0.013051,           0.0097455,            0.009589,            0.009589
                   3,            0.034723,             0.02392,           0.0095228,             0.60155,             0.82464,             0.69058,             0.46598,            0.011771,           0.0041659,            0.012044,            0.009406,            0.009406,            0.009406
                   4,            0.032391,            0.023151,           0.0087779,             0.53849,             0.79427,             0.65639,             0.46334,            0.012369,           0.0041514,            0.012129,            0.009406,            0.009406,            0.009406
                   5,            0.029158,            0.022724,            0.007832,             0.53648,             0.86847,             0.65965,              0.4208,            0.011359,             0.00422,            0.011586,            0.009208,            0.009208,            0.009208
                   6,            0.028321,            0.021699,           0.0082182,             0.54987,             0.77343,             0.70112,             0.45215,            0.012334,           0.0041105,            0.011658,             0.00901,             0.00901,             0.00901
                   7,            0.025257,            0.021169,           0.0077327,             0.58164,              0.8414,             0.71945,             0.55396,           0.0086523,           0.0037115,            0.010717,            0.008812,            0.008812,            0.008812
                   8,            0.024718,            0.020629,            0.007751,             0.58286,             0.85866,             0.72481,             0.52387,            0.010255,           0.0037524,            0.011088,            0.008614,            0.008614,            0.008614
                   9,            0.022978,            0.019486,           0.0075236,             0.44192,             0.94059,             0.67189,             0.43538,            0.011293,           0.0042311,            0.012649,            0.008416,            0.008416,            0.008416
                  10,            0.023219,            0.019436,            0.007918,             0.53666,             0.83436,             0.71783,             0.54364,           0.0084708,           0.0036449,            0.011866,            0.008218,            0.008218,            0.008218
                  11,            0.021744,             0.01912,           0.0072885,             0.48561,             0.94554,             0.75444,              0.5844,           0.0088768,           0.0035052,            0.012151,             0.00802,             0.00802,             0.00802
                  12,            0.021263,            0.018766,           0.0069878,             0.55763,             0.87078,             0.72829,             0.55877,           0.0087466,            0.003627,            0.011744,            0.007822,            0.007822,            0.007822
                  13,            0.020863,            0.018368,           0.0066053,             0.54328,             0.86923,              0.6648,             0.49406,            0.008211,           0.0046296,            0.012243,            0.007624,            0.007624,            0.007624
                  14,            0.021123,            0.018322,           0.0076182,              0.5429,             0.76843,             0.70369,             0.55015,           0.0081667,            0.003763,            0.012011,            0.007426,            0.007426,            0.007426
                  15,            0.020051,            0.017909,           0.0077161,             0.55938,             0.81294,             0.74735,             0.59147,           0.0083922,           0.0036734,            0.011301,            0.007228,            0.007228,            0.007228
                  16,            0.019943,            0.017646,            0.007634,             0.53617,             0.92574,             0.74979,             0.60254,           0.0079761,           0.0034779,            0.010923,             0.00703,             0.00703,             0.00703
                  17,            0.019118,            0.017812,            0.007192,             0.60125,             0.78341,             0.74456,             0.60479,           0.0072948,           0.0033494,             0.01294,            0.006832,            0.006832,            0.006832
                  18,            0.019559,            0.017343,           0.0067927,             0.59013,             0.81773,             0.72309,             0.58507,           0.0067245,           0.0035783,            0.012719,            0.006634,            0.006634,            0.006634
                  19,            0.018976,            0.017309,           0.0072403,             0.63505,             0.81939,             0.74223,             0.60267,           0.0068693,           0.0034303,            0.011224,            0.006436,            0.006436,            0.006436
                  20,            0.018757,            0.016773,           0.0066987,             0.65618,             0.83367,             0.74553,              0.5893,           0.0071978,           0.0035102,            0.011777,            0.006238,            0.006238,            0.006238
                  21,            0.017859,            0.016258,           0.0066779,             0.69727,             0.89662,             0.76078,             0.60513,           0.0071065,           0.0037673,            0.010979,             0.00604,             0.00604,             0.00604
                  22,            0.018284,             0.01643,           0.0065441,             0.67528,             0.82104,             0.78281,             0.63282,           0.0071036,           0.0035807,            0.010056,            0.005842,            0.005842,            0.005842
                  23,            0.018192,            0.016277,           0.0069789,             0.60894,             0.86027,             0.73817,             0.58516,           0.0074582,           0.0034523,            0.011131,            0.005644,            0.005644,            0.005644
                  24,             0.01713,            0.016522,           0.0068294,             0.64406,             0.84274,             0.78808,             0.63686,           0.0066179,           0.0034989,            0.010208,            0.005446,            0.005446,            0.005446
                  25,            0.016821,            0.016232,           0.0064019,             0.57199,             0.87509,             0.73923,             0.59259,             0.00722,           0.0035886,             0.01054,            0.005248,            0.005248,            0.005248
                  26,            0.017171,            0.016046,           0.0068968,             0.61486,             0.84769,             0.74449,             0.60908,           0.0070202,           0.0036597,            0.010512,             0.00505,             0.00505,             0.00505
                  27,            0.016445,            0.015378,            0.007558,             0.53221,             0.88585,             0.77811,             0.62717,           0.0066317,           0.0032897,            0.010869,            0.004852,            0.004852,            0.004852
                  28,             0.01669,            0.015947,           0.0070243,              0.6264,             0.88454,              0.7745,             0.63159,           0.0062524,           0.0033976,            0.010327,            0.004654,            0.004654,            0.004654
                  29,            0.015537,            0.015102,           0.0067574,              0.6054,             0.91095,             0.80458,             0.67023,           0.0063911,           0.0031052,           0.0098276,            0.004456,            0.004456,            0.004456
                  30,            0.015169,            0.015293,           0.0062543,             0.55546,             0.88558,             0.74834,             0.61862,           0.0064538,            0.003358,             0.01128,            0.004258,            0.004258,            0.004258
                  31,            0.015536,            0.015102,           0.0063403,             0.64756,             0.88934,              0.7448,             0.61538,           0.0062704,           0.0031624,            0.010046,             0.00406,             0.00406,             0.00406
                  32,            0.015282,            0.014589,           0.0065736,             0.60784,             0.90257,             0.71577,             0.59152,           0.0063949,           0.0032037,             0.01126,            0.003862,            0.003862,            0.003862
                  33,            0.015705,            0.014959,           0.0065884,             0.64762,             0.86912,             0.76356,             0.64368,           0.0059882,           0.0032105,             0.01008,            0.003664,            0.003664,            0.003664
                  34,            0.014695,            0.014802,           0.0067461,             0.59829,             0.84464,             0.78612,             0.66021,           0.0060235,           0.0031127,            0.010529,            0.003466,            0.003466,            0.003466
                  35,            0.014844,            0.014649,           0.0066124,              0.6504,             0.88201,             0.80584,             0.66534,           0.0062632,           0.0034746,           0.0097623,            0.003268,            0.003268,            0.003268
                  36,            0.013114,             0.01357,           0.0067461,             0.59316,             0.87056,              0.7978,             0.65859,            0.006463,           0.0036278,           0.0093056,             0.00307,             0.00307,             0.00307
                  37,             0.01371,            0.013888,           0.0061834,             0.62244,             0.82735,              0.7753,             0.65423,           0.0061397,            0.003239,             0.01021,            0.002872,            0.002872,            0.002872
                  38,            0.014243,            0.014064,           0.0061733,             0.63642,              0.9354,             0.77221,             0.64937,           0.0061731,           0.0032852,           0.0095904,            0.002674,            0.002674,            0.002674
                  39,            0.012391,            0.013884,           0.0060386,              0.6518,             0.84761,             0.80251,             0.66451,           0.0063688,           0.0033784,           0.0092001,            0.002476,            0.002476,            0.002476
                  40,            0.014654,            0.013998,           0.0065748,             0.64053,             0.84325,             0.80024,             0.67853,           0.0064976,           0.0031843,            0.009448,            0.002278,            0.002278,            0.002278
                  41,            0.012867,            0.013833,           0.0066709,             0.63538,             0.85941,             0.80864,             0.68546,           0.0064396,           0.0032628,           0.0095703,             0.00208,             0.00208,             0.00208
                  42,            0.013132,            0.013331,            0.006423,             0.64625,             0.92005,             0.78175,             0.65903,           0.0062873,           0.0031963,           0.0099688,            0.001882,            0.001882,            0.001882
                  43,            0.013175,            0.013483,           0.0061251,             0.66801,             0.91637,             0.81037,             0.69223,           0.0059563,           0.0030563,           0.0091904,            0.001684,            0.001684,            0.001684
                  44,            0.012509,             0.01302,           0.0057691,             0.66125,             0.91686,             0.80146,             0.67801,           0.0060493,           0.0031473,           0.0092975,            0.001486,            0.001486,            0.001486
                  45,            0.012745,             0.01325,           0.0058036,             0.59496,             0.92889,             0.82103,             0.69172,           0.0059622,            0.003093,            0.009422,            0.001288,            0.001288,            0.001288
                  46,            0.012025,            0.012258,           0.0063463,             0.67618,             0.93736,             0.85518,             0.72654,           0.0059459,           0.0031178,           0.0080975,             0.00109,             0.00109,             0.00109
                  47,            0.012054,            0.012856,           0.0066561,             0.67156,             0.93687,             0.84074,             0.71688,           0.0058947,           0.0031074,           0.0086398,            0.000892,            0.000892,            0.000892
                  48,            0.011628,            0.012687,           0.0063356,              0.6319,             0.93903,             0.82959,             0.70913,           0.0059022,           0.0030976,           0.0086859,            0.000694,            0.000694,            0.000694
                  49,            0.011738,            0.012623,           0.0059609,              0.6439,             0.93012,             0.83683,             0.70834,           0.0059496,           0.0031398,           0.0087197,            0.000496,            0.000496,            0.000496
