               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072771,            0.077564,            0.066254,            0.094331,             0.47741,             0.13031,            0.064938,            0.042218,            0.067155,            0.061193,            0.070042,           0.0033286,           0.0033286
                   1,             0.05223,            0.063983,            0.060865,             0.17836,             0.54228,             0.21299,             0.11095,            0.037883,            0.063686,            0.054375,             0.03991,           0.0065301,           0.0065301
                   2,            0.049104,            0.062342,            0.053988,             0.16985,             0.76726,             0.25201,             0.13572,            0.035244,            0.062466,            0.049782,           0.0096466,           0.0095995,           0.0095995
                   3,             0.04436,            0.059182,            0.049062,             0.23693,             0.78356,             0.34877,             0.18513,            0.033537,            0.062179,            0.043127,            0.009406,            0.009406,            0.009406
                   4,            0.040975,            0.059195,            0.043437,              0.3443,             0.73779,             0.44935,             0.25124,            0.032752,            0.061241,            0.037943,            0.009406,            0.009406,            0.009406
                   5,            0.039865,            0.058159,            0.039584,             0.42319,             0.81494,             0.51577,             0.30624,            0.030536,            0.059841,            0.033798,            0.009208,            0.009208,            0.009208
                   6,             0.03788,            0.055924,            0.036741,             0.45646,             0.82829,             0.57388,             0.35294,            0.029069,            0.059623,             0.03046,             0.00901,             0.00901,             0.00901
                   7,            0.036966,            0.056063,            0.033685,             0.53587,             0.81019,             0.63661,             0.38189,            0.030375,            0.059728,            0.028097,            0.008812,            0.008812,            0.008812
                   8,            0.036498,            0.055709,            0.030888,             0.59951,             0.84458,              0.6728,              0.4237,            0.028687,            0.058937,            0.024669,            0.008614,            0.008614,            0.008614
                   9,            0.035416,            0.054905,            0.028453,             0.63702,             0.83853,             0.70638,              0.4425,            0.028723,            0.058656,            0.023011,            0.008416,            0.008416,            0.008416
                  10,            0.034849,            0.054407,            0.027302,             0.65789,             0.86624,             0.74012,             0.46785,            0.028031,            0.058126,             0.02137,            0.008218,            0.008218,            0.008218
                  11,            0.034175,            0.053376,            0.025639,             0.71212,             0.85581,             0.79392,             0.51197,            0.027403,            0.057649,            0.019841,             0.00802,             0.00802,             0.00802
                  12,            0.034223,            0.054214,            0.024124,             0.74028,             0.86593,             0.81309,             0.52905,            0.027448,            0.057738,             0.01835,            0.007822,            0.007822,            0.007822
                  13,            0.033533,             0.05286,            0.022808,             0.78009,             0.87217,             0.84347,              0.5497,            0.026979,            0.057586,            0.016751,            0.007624,            0.007624,            0.007624
                  14,            0.033504,            0.053388,            0.021716,             0.81401,             0.84166,             0.87338,             0.57146,            0.026981,            0.057213,            0.015861,            0.007426,            0.007426,            0.007426
                  15,            0.032967,            0.052107,            0.020602,             0.87475,             0.85721,             0.90327,             0.59507,            0.026698,            0.057517,            0.014684,            0.007228,            0.007228,            0.007228
                  16,            0.032851,            0.053492,            0.019361,             0.89062,             0.87206,             0.91772,              0.6094,            0.026481,            0.057553,            0.013583,             0.00703,             0.00703,             0.00703
                  17,            0.032733,            0.052365,             0.01808,             0.91467,              0.8853,             0.92722,             0.61843,            0.026471,            0.057111,             0.01209,            0.006832,            0.006832,            0.006832
                  18,            0.032615,            0.053169,            0.017515,               0.921,             0.87692,             0.92347,             0.61259,            0.027017,            0.057423,            0.012199,            0.006634,            0.006634,            0.006634
                  19,            0.032251,            0.052749,            0.016981,             0.92575,             0.89355,             0.93518,             0.62608,            0.026251,            0.057448,            0.011076,            0.006436,            0.006436,            0.006436
                  20,            0.031682,            0.051715,            0.015992,             0.92819,             0.89798,             0.93725,             0.63029,            0.026039,            0.056675,            0.009971,            0.006238,            0.006238,            0.006238
                  21,            0.031475,             0.05127,            0.015536,             0.93261,             0.90023,             0.93946,             0.63009,            0.025935,            0.057434,           0.0096259,             0.00604,             0.00604,             0.00604
                  22,             0.03119,            0.051151,             0.01525,             0.93551,             0.90061,             0.93644,             0.63147,            0.025617,            0.057038,            0.010052,            0.005842,            0.005842,            0.005842
                  23,            0.031042,            0.051933,            0.014945,             0.94216,             0.91084,             0.94102,             0.63805,            0.025503,            0.056444,           0.0087612,            0.005644,            0.005644,            0.005644
                  24,            0.031107,            0.051007,            0.014607,             0.94617,             0.90459,             0.94288,             0.64027,            0.025627,            0.056538,            0.008246,            0.005446,            0.005446,            0.005446
                  25,            0.030516,            0.051681,            0.014186,             0.94376,             0.91184,             0.94403,             0.64159,            0.025472,            0.056494,           0.0082534,            0.005248,            0.005248,            0.005248
                  26,             0.03039,            0.051164,            0.013493,             0.94667,              0.9113,             0.94705,             0.64379,            0.025426,            0.056271,           0.0080027,             0.00505,             0.00505,             0.00505
                  27,            0.030204,            0.051501,            0.013085,             0.94841,             0.91524,              0.9456,             0.64589,            0.025398,            0.056228,           0.0079059,            0.004852,            0.004852,            0.004852
                  28,            0.029968,            0.049728,            0.013062,             0.94991,             0.91728,              0.9467,             0.64297,             0.02555,            0.056255,           0.0078538,            0.004654,            0.004654,            0.004654
                  29,            0.029789,            0.050524,            0.012451,             0.95448,             0.92138,              0.9483,             0.64752,             0.02505,            0.056021,           0.0072758,            0.004456,            0.004456,            0.004456
                  30,            0.029487,            0.049299,            0.012287,             0.94802,             0.92172,             0.94692,             0.64658,            0.025353,            0.056354,           0.0076156,            0.004258,            0.004258,            0.004258
                  31,            0.029385,            0.049687,            0.012096,             0.95213,             0.92477,             0.95005,             0.65288,            0.025033,            0.055874,           0.0070244,             0.00406,             0.00406,             0.00406
                  32,            0.029424,            0.048906,            0.012313,             0.95567,             0.92154,             0.94686,             0.64965,            0.024785,            0.055954,           0.0071766,            0.003862,            0.003862,            0.003862
                  33,            0.029555,            0.050036,             0.01183,             0.95847,             0.92455,             0.95145,             0.65759,            0.024727,            0.055624,           0.0068382,            0.003664,            0.003664,            0.003664
                  34,            0.029032,            0.049686,            0.011448,             0.96046,             0.92511,              0.9513,             0.65472,            0.024844,            0.055986,           0.0065687,            0.003466,            0.003466,            0.003466
                  35,            0.028789,            0.049486,            0.010978,             0.96006,             0.92731,             0.95226,             0.65806,             0.02466,            0.055716,           0.0064239,            0.003268,            0.003268,            0.003268
                  36,            0.028861,            0.049992,            0.011128,             0.95922,             0.92787,             0.95116,             0.65863,            0.024685,            0.055888,           0.0066298,             0.00307,             0.00307,             0.00307
                  37,            0.028404,            0.048869,            0.010497,             0.96012,             0.92844,             0.95219,             0.65798,            0.024557,            0.055799,           0.0061943,            0.002872,            0.002872,            0.002872
                  38,            0.028501,             0.04867,            0.010744,             0.95867,              0.9271,             0.95119,             0.65744,            0.024573,            0.055941,           0.0062872,            0.002674,            0.002674,            0.002674
                  39,            0.028002,            0.048342,            0.010169,              0.9635,             0.92989,             0.95342,              0.6609,            0.024393,            0.055192,           0.0060022,            0.002476,            0.002476,            0.002476
                  40,             0.02818,            0.049011,            0.010194,              0.9651,             0.92843,             0.95224,             0.65979,            0.024419,            0.055734,           0.0062312,            0.002278,            0.002278,            0.002278
                  41,            0.027651,            0.047898,            0.010182,             0.96039,             0.93128,             0.95303,             0.65663,            0.024395,            0.055582,           0.0060264,             0.00208,             0.00208,             0.00208
                  42,             0.02778,             0.04835,           0.0098228,             0.96671,             0.92999,             0.95417,             0.66279,            0.024323,            0.055406,           0.0058384,            0.001882,            0.001882,            0.001882
                  43,            0.027955,            0.048078,           0.0099048,             0.96612,             0.93217,             0.95385,               0.665,            0.024229,            0.055416,           0.0057369,            0.001684,            0.001684,            0.001684
                  44,            0.027541,             0.04725,           0.0097309,             0.96755,             0.92969,              0.9561,             0.66645,            0.024219,            0.055386,           0.0054447,            0.001486,            0.001486,            0.001486
                  45,            0.027261,            0.047148,           0.0093476,             0.96993,             0.93468,              0.9551,             0.66422,            0.024161,            0.055376,           0.0055465,            0.001288,            0.001288,            0.001288
                  46,            0.027255,            0.047673,           0.0093019,             0.96846,             0.93589,             0.95497,             0.66572,            0.024165,            0.055372,           0.0056122,             0.00109,             0.00109,             0.00109
                  47,            0.027308,            0.048059,           0.0089929,             0.96503,             0.93838,             0.95478,             0.66554,            0.024133,            0.055433,           0.0053427,            0.000892,            0.000892,            0.000892
                  48,             0.02683,            0.047023,           0.0088216,             0.96991,             0.93558,             0.95512,             0.66667,            0.023971,             0.05535,           0.0054696,            0.000694,            0.000694,            0.000694
                  49,            0.026991,            0.047965,           0.0088104,             0.97048,             0.93516,             0.95491,              0.6677,            0.023922,            0.055249,           0.0055324,            0.000496,            0.000496,            0.000496
